title,label
癌症偏方靠谱吗 介绍5种免费的“癌症偏方”,No
中医有治癌症的秘方,Yes
"农民得癌症没钱看病,用一个偏方死马当活马医,现在健康了",Yes
"重磅!癌细胞“命运女神”被发现,或将打开饮食治疗癌症新世界大门",No
癌症患者饮食疗法原则及忌口,No
巴德维饮食疗法全解——癌症和三高终结者!,Yes
简单验方:关于癌症的食疗方案,Yes
【迁医健康】肿瘤科谱之浅谈肿瘤偏方,No
软组织恶性肿瘤秘方验方选,Yes
【中医药膳】香菇及肿瘤食疗药膳(五),Yes
这里有血栓当心是肿瘤防治肿瘤的食疗方法看这里!,Yes
恶性肿瘤患者中医食疗及营养疗法学习班通知,No
【肿瘤中医进阶之道·第51天】营养食疗的个体化评估与调整,Yes
甲状腺结节治疗偏方患有甲状腺结节怎么办?,Yes
师娘传我一个治甲状腺结节的药方,Yes
"一个秘方,就摆脱了我近5年的乳腺结节,太神奇了",Yes
"一个治疗乳腺结节的好方子:理气,化瘀,清湿热",Yes
肺部结节中医治疗,No
媒体聚焦 | 科技日报:偏方食谱可以治疗肺结节?专家解答,No
去肺结节的两味药 祖传秘方,Yes
【散结养肺膏】肺部结节术后的调理良方,Yes
中医治疗肺结节的偏方,Yes
全国名老中医刘祖贻:肺结节验方,Yes
幽门螺杆菌检测方法有哪些?,No
"胃病的元凶幽门螺旋杆菌,3个方法能灭了它!",Yes
"道医失眠秘方,有效率100%!",Yes
我无意中发现治疗失眠的偏方,Yes
治疗失眠的偏方,Yes
治疗失眠的偏方大全,Yes
"失眠秘方大揭秘:1味药,失眠焦虑永远断根,不用打针,不用住院,百试百灵!",Yes
直播丨11月19日晚食养天真《失眠的食疗调养》一起化解失眠危机,Yes
失眠食疗偏方,Yes
关于失眠的食疗,Yes
失眠食疗,Yes
便秘偏方集锦,Yes
中医治疗便秘的偏方,Yes
四个治便秘的偏方,Yes
宝宝便秘了怎么办?宝宝便秘食疗秘笈!,No
便秘的食疗调养,Yes
治便秘食疗4款,Yes
孕期便秘对胎儿有影响吗? 孕妇便秘食疗get!,Yes
"便秘食疗小妙方,一喝即通",Yes
长期便秘的危害及食疗方法,Yes
蜂产品治咳嗽偏方全攻略,Yes
【健康】秋季咳嗽怎么办?治感冒咳嗽5个小偏方,Yes
【健康】治咳嗽的几个小偏方,Yes
咳嗽吃什么好的快 治疗咳嗽的最有效偏方,Yes
"10首小儿咳嗽的小偏方,小朋友可喜欢吃了 |咳嗽的偏方",Yes
咳嗽食疗系列(七)——风热咳嗽,Yes
春节期间咳嗽食疗集锦,Yes
孕妇咳嗽的食疗方法,Yes
咳嗽的食疗方案都在这了,Yes
感冒偏方大全,Yes
【推荐】感冒偏方应用心得,Yes
漫画 | 亮仔在中国:日本的感冒偏方,Yes
感冒食疗,Yes
冬季治疗感冒食疗小秘方 拿走不谢!,Yes
"小儿感冒食疗方法,妈妈们一定要看的!",Yes
孩子的感冒的食疗处理,Yes
偏方大全:胃病食疗偏方,Yes
慢性胃病试试食疗,Yes
胃病食疗菜谱推荐 诊断胃病的方法都有哪些,No
治胃病的食疗有好方,Yes
胃病食疗菜谱大全_胃病食疗菜谱全汇总!,No
"十人九胃病,3款饮食疗法,帮你养胃治胃病",Yes
大蒜治胃病胃部的食疗偏方,Yes
胃溃疡食疗偏方大全,Yes
胃病食疗偏方,Yes
胃病的饮食疗法,Yes
"经常犯胃病怎么办?教你五个食疗小妙招,用了都说好",Yes
消化系统疾病——胃病的食疗方法,Yes
食药同源与健康|慢性胃病饮食宜忌与中医食疗【下】,No
食药同源与健康|慢性胃病饮食宜忌与中医食疗【上】,No
"冬季慢性胃炎食疗方法大全,想要根治老胃病必看!",Yes
胃炎食疗法,Yes
"肝炎断根秘方,一个农民治肝病的偏方",Yes
"世界肝炎日丨正确认识婴儿胆汁淤积性肝病,莫迷信偏方!",No
"告诉大家一个小偏方,肝病怎么治疗才好?",Yes
【付济华医师秘方】肝病科对付肝腹水的 “杀手锏”治疗肝硬化或肝癌严重腹水确有神效!,Yes
有肝病的人有什么症状 治疗肝病有这些偏方,Yes
"肝病治疗有偏方?医生:治肝药乱用危害大,治疗需遵循这5大原则",No
肝病患者5大偏方!,Yes
肝炎的偏方,Yes
【很老很老的老偏方】调治肝病的偏方验方(上),Yes
"高手在民间,简简单单6个偏方治肝病",Yes
肝炎之中医验方汇集,Yes
肝病之论(我的秘验方之路 6 ),Yes
治肝炎偏方,Yes
"肝病秘方退休中医首公开,一条泥鳅温中益气,解肝毒,赶紧存",Yes
肝病大师关幼波:治疗肝病的三张经验方,Yes
彭水苏麻为啥能食疗肝病,Yes
动物肝脏对肝病的食疗作用,Yes
肝病食疗养生中的“四性”、“五味”,No
肝病食疗方,Yes
省名中医池晓玲教授谈饮食疗法调治慢性肝病,No
省名中医池晓玲教授谈饮食疗法调治慢性肝病(2),No
"氢水 +食疗:肝病人群的科学调理方案,从机制到实践都有依据",Yes
肝炎饮食注意事项 多吃7款食疗有好处,No
"治疗肝病,传统3种食疗秘方",Yes
肝病患者怎么吃好?这几款食疗方法不容错过!,No
干细胞疗法在肝病治疗中的临床进展及应用价值,No
"有肝病,可试试这5种食物联合搭配,治肝又降酶!",Yes
[微语音]肝病患者的食疗,No
"肝病最怕的“2种”食疗方子,常吃有益,肝脏越来越强壮",Yes
民间秘方治肾病,Yes
"治好肾病,这里有“偏方气死名医”的3个药方,关键看你信不信",Yes
提醒慢性肾病患者在“求医路上”切勿轻信偏方,No
北京肾病胡磊主任:肾病偏方,No
提醒肾病患者在“求医路上”勿轻信神药偏方,No
BTV记忆丨八旬老中医治疗肾病的秘方,Yes
"""我有祖传秘方专治肾病与尿毒症,疗效还特好!""肾友要不要?",No
偏方治肾炎,Yes
【偏方】肾病综合征效验方,Yes
肾病宗师的无价秘方,Yes
倪海厦:谈肾病(附偏方一则),Yes
"治肾病,选中医?西医?or偏方?您选对了吗?",No
"真有治愈肾病的草药偏方?猜中了开头,却没想到......",No
五个中药偏方治疗肾病综合征,Yes
【偏方大全】治疗肾炎偏方有奇效,Yes
治疗糖尿病性肾病的两个民间偏方,Yes
中药日笺 | 急性肾炎小秘方,Yes
"最强根治肾病奇方,永不复发,五快钱的偏方,坚持喝十天兴阳起萎显奇效",Yes
肾虚的食疗方法,No
女性肾虚的食疗方法,No
肾虚怎么食补,No
肾虚症状和食疗,No
"尿多,失眠,肾虚食疗的方法!",Yes
女人肾虚怎么办?吃药不如试试食疗,Yes
"开空调记得穿袜子!日常养生,名中医“德叔”建议→",No
咳嗽秘方,Yes
探索膳食补充剂背后的科学 | “自然聚焦-营养”增刊,No
"艾灸的25个排病反应,了解一下",No
这七种病无法根治,No
"咽喉肿痛,一招见效",Yes
"老人捡破烂攒6万元买“包治百病”的玉石床垫,儿子苦劝不成,甚至反目成仇",No
"免疫力才是最好的“医生”,增强免疫力关键靠自己!",No
"达人亲历 关于瘦脸针,这些医生不会告诉你",No
"一种不起眼但对女性超级好的食物,很多人都不知道",No
"中医养生谈:面瘫(面神经炎)症状的表现及原因分析,并给出中医养生调理方案",No
"收藏!常见病的食疗养生秘方,中医教授独家公开!",Yes
感冒秘方,Yes
注意!普宁这火爆的“祖传秘方”竟是假的!多人上当!,No
老中医私藏的2道养血方!女生喝了气色好!,No
"安发《九仙居膳》顶尖保健品,价格親民!",No
神效面瘫十二针,Yes
神效验方“五根汤”——儿童发烧感冒之良方,Yes
"惊蛰养生|春季升阳,一招见效!激活这里,轻松唤醒全身阳气!",Yes
"不用手术和化疗,打半年针就能治愈癌症?",No
"抗癌实录:95后,梦碎700天",No
大蒜、秋葵不抗癌!真正抗癌的7个方法被你忽略了,No
"为降血糖,六旬阿婆12年不吃肉!结果一查惊呆...",No
"不论男女,晚上空腹时吃点它,提高免疫力,人到中年了尽量要多吃!",Yes
"【奇效偏方】根治糖尿病偏方,20天左右就可取得疗效!永远断根!看完此文,救你一命!",Yes
八个民间小偏方根治痔疮,Yes
【偏方】降血糖偏方48种(珍藏),Yes
"拒绝高血压,老中医有降压秘方!",Yes
临床老中医聊高血压!,No
18元起 · 上帝杰作 |抗癌食疗效果神奇的8种野生菌,Yes
"酵素排毒和拉肚子,根本不是一回事!",Yes
"都是几块钱的菜,美容养生、清血管,多吃点!",Yes
养生▏吃什么能够清血管?,Yes
血压超过140/90mmHg要不要吃药?降血压药什么时间吃好?,No
"一招降低血糖值,不打针不吃药!中老年人用起来",Yes
"高血压秘方,为亲人为自己收藏!",Yes
"糖尿病有救了!特效偏方,两周轻松降血糖,转发出去,救人无数!",Yes
"这6个能治疗糖尿病的偏方都是假的,你别再被忽悠了,有这三种思维模式才能避免被骗",No
糖尿病联合治疗如何事半功倍?最新共识带来全面解析!,No
血压低的食疗妙方,Yes
"降血压稳定血糖就要常吃香蕉,帮助控血压,食疗效果特别好!",Yes
极简医学——饮食治疗降低血脂,No
最适合高尿酸、痛风的3种食物,Yes
"痛风发作要人命!试试食疗降尿酸,放心又有效,现在吃还不晚",Yes
“偏方”能治疗肿瘤吗,No
治疗甲状腺结节偏方,Yes
【偏方】治甲状腺结节的偏方,Yes
“乳腺结节”为何切除了还会长?中医告诉你治疗秘方.,Yes
"有乳腺结节,通乳散结,除了蒲公英,中医奶奶说1个妙方",Yes
中药治疗失眠验方,Yes
【健康科普 | 医生讲】失眠食疗看这里,No
"便秘偏方香油,蜂蜜香油怎么喝治便秘",Yes
食疗治胃病的方法,Yes
多思可致脾胃不适(附:春季胃病食疗汤6款),No
胃病食疗这些偏方能保护肠胃,Yes
健康之道 第36期胃病食疗方法,Yes
夏季如何预防胃病_夏季养胃的食疗偏方,Yes
胃病食疗,No
调治肝病的偏方验方(上),Yes
黄疸型肝炎偏方,Yes
"传承中医诊室——中医治肝病,有秘方!",Yes
【很老很老的老偏方】调治肝病的偏方验方(中),Yes
【吃狗肉可治肝病?不靠谱的偏方治不了病!】,No
慢性肝病肝硬化的食疗方法,Yes
【肾病误区】治肾病偏方不可当处方!,No
【偏方】治肾病七方,Yes
肾病偏方:玉米须的研究进展及验方,Yes
"祖传秘方专治肾病与尿毒症,且“疗效特好”之大揭秘!",No
男人肾虚怎么办 三种食补方法帮到你,No
"【养生药膳】:更年期这么吃,就对了!",No
民间偏方杀死了多少癌症病人?,No
"这个“反诈老中医”,刷屏了!",No
"网红主播,为什么盯上保健品?",No
“酵素”是什么鬼?,No
"那些贴了三伏贴的人,后来怎么样了?",No
"艾灸说明书:艾灸有什么作用,需要注意什么?",No
感冒后的咳嗽不用吃药?专家:这种咳嗽确实不用吃药,No
不用手术!就能扔掉眼镜!还不快点戳进来~,Yes
"一个降血压的谎言,骗了爸妈很多年",No
"它被誉为“ 皇帝菜 ”,降压、清血管、养心肺,不吃你就亏大了",Yes
决赛倒计时!药膳巅峰对决,No
牙痛秘方,Yes
揭开“祖传秘方”的面纱,No
"民间偏方验方118剂,不收藏,错过可不好找!",Yes
"点赞 76岁老中医边啃烧饼边加班工作:出丑了,惭愧",No
飙车包治百病?连癌症晚期都能治愈,No
"肠梗阻不用手术,一根管子就“搞定”!",No
"降血糖,掌握这六大细节之前,别着急打这一针!",No
慢性肾脏病的降血压全攻略!肾内主任笔记,No
"最降血压的运动竟然是它!每周3次,每次30分钟,不吃药也能降血压!",Yes
吃什么可以增强免疫力(附上我给父母囤的食物清单),Yes
"找护工踩过坑的一定要看!3 个必查资质,少一个都别用",No
"人为什么一定要学心理学?看懂这篇,解决人生80%的烦恼",No
"痔疮消肿的最快的偏方,根治痔疮的方法",Yes
"千金难买一药方,根治失眠偏方:一个星期让你恢复正常睡眠,20年不吃药没复发,百试百灵",Yes
"【资讯】这个秘方不仅急降血糖,还能降血压、防心梗?!",Yes
降糖秘方;降血糖最快的3种水果!,Yes
2017年中国增强免疫力类保健品市场发展情况,Yes
"酵素排毒,只瘦女人该瘦的地方",Yes
【养生】清理血管的特效菜!,Yes
【养生】清除血管垃圾的秘诀,Yes
"23个医生不会告诉你的养生冷知识,第10个颠覆认知",Yes
高血压的四种中医分型 中医治疗高血压的偏方,Yes
糖尿病饮食的八个误区,No
糖尿病逆转有新定义!欧美四学术组织共识,No
食疗降血糖?真的可以实现!,Yes
"食疗降血糖的偏方大全,6款轻松降血糖的粥",Yes
高血压啥能吃?啥不建议吃?华西医生教你食疗稳血压,Yes
"中老年平稳血压小窍门!三款食疗食谱搭配穴位按揉,稳压调养不易反复",Yes
"凤归巢养生小课堂,控血脂的两个食疗方法",Yes
"有效治疗痛风的偏方,原来治痛风也可以这么简单",Yes
分享农民不花钱治疗癌症偏方,Yes
再谈癌症患者的饮食治疗,No
"Nature:攻克「癌症之王」,科学家找到了「癌症食疗」的新思路",Yes
治癌症、肿瘤的秘方请收好!,Yes
"【国医大师肿瘤食疗坊】开栏了!肿瘤食疗助力健康,重磅推出肺癌食疗篇.",Yes
【话肿瘤】食疗养五脏 生活中应这样吃,Yes
"乳腺增生,乳腺纤维瘤,乳腺结节就用这个处方!",Yes
分享一个乳腺结节的有效偏方,Yes
不想吃药信偏方?谣言比幽门螺杆菌更害人!,No
失眠食疗有方法,Yes
便秘偏方大全,Yes
便秘偏方治疗便秘的神奇方法,Yes
"娃娃感冒咳嗽,食疗看这里",Yes
【儿科万花筒】家里就能找到的小儿感冒偏方!小宣医生为您解读!,Yes
经期感冒就喝这碗汤|承修食疗,Yes
"小儿感冒食疗方法,妈妈们一定会看的!",Yes
蜂蜜治胃病的食疗方法!,Yes
胃病保养及食疗方法,Yes
胃病的食疗养生(合集),No
基层老中医治肝病验方(参与文末互动得福利),Yes
"高手在民间,简简单单1个偏方治肝病",Yes
肝炎偏方,Yes
民间故事之偏方治肝病,Yes
县中医院肝病专家黄敏华:中医肝病的饮食疗法,No
省名中医池晓玲教授谈饮食疗法调治慢性肝病(1),No
省名中医池晓玲教授谈饮食疗法调治慢性肝病(3),No
四种肝病的食疗方子!,Yes
"肝病的食疗方法:推荐3款小食谱,好吃又保肝",Yes
八旬老中医治疗肾病的秘方,Yes
"年轻小伙得了肾病用偏方治疗,半个月由急性肾衰竭到了尿毒症",No
